Date, Tweets_Mentions
2020-04-05,35066
2020-04-06,42843
2020-04-07,38583
2020-04-08,37821
2020-04-09,56545
2020-04-10,38718
2020-04-11,38082
2020-04-12,36917
2020-04-13,30773
2020-04-14,32349
2020-04-15,28974
2020-04-16,39405
2020-04-17,41531
2020-04-18,32223
2020-04-19,26731
2020-04-20,29397
2020-04-21,32235
2020-04-22,30716
2020-04-23,31505
2020-04-24,32555
2020-04-25,25063
2020-04-26,20353
2020-04-27,25503
2020-04-28,28260
2020-04-29,26005
2020-04-30,31752
2020-05-01,34750
2020-05-02,22776
2020-05-03,9284
